      TIME              V(A)              V(Y)             I(VVDD)     
   3.03624775e-09    2.25134979e-01   -7.51246167e-02   -1.84969378e-04
   3.03653686e-09    2.07788278e-01   -7.36401878e-02   -1.88011974e-04
   3.03682597e-09    1.90441577e-01   -7.19659740e-02   -1.92199360e-04
   3.03711509e-09    1.73094876e-01   -7.01008060e-02   -1.95255683e-04
   3.03740420e-09    1.55748175e-01   -6.80436461e-02   -1.99452299e-04
   3.03769331e-09    1.38401473e-01   -6.57935912e-02   -2.02513754e-04
   3.03798242e-09    1.21054772e-01   -6.33498707e-02   -2.06711699e-04
   3.03827153e-09    1.03708071e-01   -6.07118425e-02   -2.09770903e-04
   3.03856064e-09    8.63613703e-02   -5.78789876e-02   -2.13963195e-04
   3.03884976e-09    6.90146693e-02   -5.48509053e-02   -2.17013485e-04
   3.03913887e-09    5.16679682e-02   -5.16273074e-02   -2.21193721e-04
   3.03942798e-09    3.43212671e-02   -4.82080141e-02   -2.24228918e-04
   3.03971709e-09    1.69745661e-02   -4.45929490e-02   -2.28391109e-04
   3.04000000e-09    2.88657986e-14   -4.08659415e-02   -2.31328609e-04
   3.04000181e-09    0.00000000e+00   -4.08228119e-02   -1.24817900e-04
   3.04000255e-09    0.00000000e+00   -4.08051376e-02   -1.24817160e-04
   3.04000321e-09    0.00000000e+00   -4.07894087e-02   -1.24816642e-04
   3.04000452e-09    0.00000000e+00   -4.07579508e-02   -1.24815418e-04
   3.04000716e-09    0.00000000e+00   -4.06950352e-02   -1.24813614e-04
   3.04001243e-09    0.00000000e+00   -4.05692050e-02   -1.24809362e-04
   3.04002298e-09    0.00000000e+00   -4.03175479e-02   -1.24801500e-04
   3.04004406e-09    0.00000000e+00   -3.98142473e-02   -1.24785136e-04
   3.04008624e-09    0.00000000e+00   -3.88077007e-02   -1.24753053e-04
   3.04017059e-09    0.00000000e+00   -3.67948274e-02   -1.24688258e-04
   3.04033928e-09    0.00000000e+00   -3.27699733e-02   -1.24559359e-04
   3.04067668e-09    0.00000000e+00   -2.47239362e-02   -1.24301099e-04
